Label;edited
 __label__HATE ;  тобто ще не інфіковані свободолюбиві довбо..би починають активніше перемішуватись з неінфікованими
 __label__HATE ; Бо в голові мозок  а не гувно як у зебілів
 __label__HATE ;Так само порохобот і так само запасів на багато років
 __label__NO ;" на вихідні починається ""ходіння в гості"""
 __label__NO ;резон у цьому є
__label__NO;   Дівчата
__label__NO;   Мені цікаво чи можеш ти порахувати на пальцях однієї руки ті випадки коли влада тебе не обманула
__label__HATE ;   Нам і москалів не треба
__label__NO;  - Вважати  що китайці побороли ковід типу повним блокуванням епіцентру «пандемії' міста Ухань - це не володіти інформацією і не дружити з головою
__label__NO;  - Ніяких спеціальних ліків від ковіду  яких і досі не існує у світі  окремо у Китаї теж не з'явилося
__label__HATE ;  - про маски  - молоді  міцні здоров*ям шалопаї  що даже не знають  що заболіли КОВІДом й ходять без маски повинні боятися покарання и бути в масках
__label__NO;  - Якоїсь специфічної до корони вакцини  над виготовленням якої й досі б'ються кращі фармацевтичні уми іншого  від Китаю  світу  в цій країні для перемоги над ковідькою теж не застосовувалося
__label__HATE ;  (от тільки не всі дохтури залишаться  щоб їх їпали за продовольчий норматив)
__label__NO;  А головне питання  що з коронавірусом у них ТЕПЕР
__label__NO;  А дехто у світі повірив у переможне закриття
__label__NO;  А знаєте  в якій країні більш за всього китайців
__label__HATE ;  В цьому сенсі  також не витримують ніякої критики пояснення  що  мовляв  в таких країнах  як Італія  Іспанія і Франція  багато китайців і саме їх скупчення призвело до розповсюдження корони у Європі
__label__NO;  Взагалі  як можна повністю заблокувати таке місто  як Ухань  яке є головним транспортним вузлом  що пов'язує північ і південь Китаю  незрозуміло
__label__NO;  Виродки протягом літа нічого не зробили для збільшення лікарняних місць
__label__NO;  Для тебе ПЛР тести вірус не виявляють і відразу розказуєш  що всі решта ні
__label__NO;  Довго вони не публікували склад  але зараз опублікували
__label__NO;  Дякую за знайомство  за спілкування
__label__NO;  І друге- коли вже нарешті перша сторінка сайту  коли він відкривається буде українська  українською по замовчуванню  перша
__label__HATE ;  І тільки потім  потім кацапська
__label__NO;  Кількість ніби заражених подають як кількість хворих заповненість ліжок тільки у %  а не в штуках
__label__NO;  Кругомадніврагі  пригадуєте
__label__NO;  Медіа грають надміру активну роль 
__label__HATE ;  Може відразу розстрілювати будете
__label__NO;  Ну  диво ж  сто відсотків
__label__NO;  Одним словом для людей котрі мінімально здатні на критичне мислення це виглядає як слова знаменитого піаніста з кварталу- піzдят і піzдят слово одне  просто наголос інший
__label__NO;  пан Бутусов  переходьте вже врешті решт на державну нормальну мову  виганяйте ваших безграмотних редакторів  які не володіють в достатній мірі ніякою ні українською ні рассєянською якою вони  мабуть  разгаварівают
__label__HATE ;  Перед пандемією барановіруса укрзалізниця скавчала про нерентабельність пасажирських перевезень
__label__HATE ;  Попрацюєш трохи зі студентами на Webex  а потім займайся улюбленими справами: статті наукові  покращення лекцій та проектів  гранти  пильнування за політикою в Україні  Польщі та Світі  тлумлення кацапів на Цензорі і не лише
__label__NO;"  Сказав би простіше  що фракція ""Слуга нарду"" становить біологічну загрозу"
__label__NO;  Судіть самі
__label__NO;  Та й не був же ти ніколи із низів І не слуґ народа бачу- швидше срак  Розумнішим став я в тисячу разів
__label__NO;  Такий армагєдєц економіці і народу  а померлих менше
__label__HATE ;  Такі да  зелена срань
__label__NO;  Тенденція однако
__label__NO;"  Ти ж для мене був величний наче Бог  Я ж молився на красівий твій партрєт  Ти ж пацанчик із народу  ;тот што смог;- Але ж де тепер твій дівся лісапєт"
__label__NO;  Ти прийняв рішення
__label__HATE ;  то нещасні приховують хворобу  наражаючи себе і оточуючих на загрозу смерті
__label__NO;  Це ж потенційні рознощики інфекції
__label__NO;  Це не виправдовування  не те  що я жаліюся  ні
__label__NO;  Це особливо смішно  коли читаєш «наукові» дослідження  як  наприклад  три італійці  які повернулися з Китаю  стали тими «нульовими» захворілими  від яких і заразилася вся Італія
__label__NO;  Чи мене за це мають проганяти і вказувати  чим займатися 
__label__NO;"  Ще трохи і будуть ""гонять паражняк"" як маршрутчики"
__label__NO;  Я не бажаю смерті тим  хто вважає інакше  хто не може носити маску  хто ще там щось 
__label__NO;  Я не про цей конкретно говорила
__label__NO;  Я розкаявся  тепер я атеїст
__label__HATE ;"  Якийсь російський непотріб який ніхто не бачив вони вже називають ""вакциною"""
__label__NO;  які на
__label__NO; ______________________  Люди
__label__NO; - І що ви скажете з цього приводу
__label__NO; - керівник російської біофармацевтичної компанії  науковий співробітник Інституту біохімічної фізики РАН Олександр Кудрявцев
__label__HATE ; - попробуйте спочатку на зебілах  опзжопниках і пєтушаріях
__label__NO; - Та чув
__label__NO; -Та що сказать
__label__NO;" ""«Будуть зроблені розрахунки  я вважаю  що в повному обсязі з боку держави профінансується саме виготовлення цієї вакцини"
__label__NO;" ""Гой"" в перекладі з староєврейського - іноземець"
__label__NO;" ""Довго вони не публікували склад  але зараз опублікували і я розчарований"
__label__NO;" ""молодняк"" що прийшов до влади -він надзвичайно розумний але з ""пустими файлами """
__label__NO;" (коледж США не дає права на працю лікарем)  коли при новій владі міністерство очолювали випадкові  не підготовлені медики  а керівництво парламентським комітетом з охорони здоров""я здійснює такий же ""спеціаліст""  то нема чого дивуватись  в умовах пандемії в країні система охорони здоров""я не функціонує"
__label__NO;" )) ""Компенсації для бізьнєсу""+здорожчання електроенергії"
__label__NO; ))) Ідеотизм
__label__NO; ))))  а на публіку можна розказати різне
__label__HATE ; #земрази
__label__NO; =================== Тільки вірус тут ні до чого
__label__HATE ; 😁 А під кацапським страшно на український форум заходити
__label__NO; 😊 Навіть слова таки про хворобу
__label__NO; А
__label__NO; А  ну да
__label__NO;" А ""вакцину"" - ""рукожопі"""
__label__NO; А Бабакам насрать
__label__NO; А бо не посилає каже ОК пишіть штраф мене звати Порошенко волоимир Федорович
__label__NO; А в двох поліклініках не працює рентген
